Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W310X52,52.0,6650,318,167,7.62,13.2,20.8,119.0,839.0,747.0,133.0,10.2,188.0,122.0,39.1,308,236
W310X44.5,44.5,5670,312,166,6.6,11.2,18.8,99.1,706.0,633.0,132.0,8.45,157.0,102.0,38.6,190,193
W310X38.7,38.7,4940,310,165,5.84,9.65,17.3,84.9,610.0,547.0,131.0,7.2,134.0,87.5,38.4,125,163
W310X32.7,32.7,4180,312,102,6.6,10.8,18.4,64.9,480.0,416.0,125.0,1.94,60.0,37.9,21.5,122,44
W310X28.3,28.3,3590,310,102,5.97,8.89,16.5,54.1,405.0,349.0,122.0,1.57,48.8,30.8,20.9,74.9,35.2
W310X23.8,23.8,3040,305,101,5.59,6.73,14.4,42.9,329.0,280.0,119.0,1.17,37.0,23.1,19.6,42.9,26
W310X21,21.0,2680,302,101,5.08,5.72,13.3,36.9,285.0,244.0,117.0,0.982,31.1,19.5,19.1,29.3,21.6
W250X167,167.0,21200,290,264,19.2,31.8,44.5,298.0,2410.0,2060.0,118.0,98.2,1130.0,742.0,68.1,6290,1620
W250X149,149.0,18900,282,262,17.3,28.4,41.1,259.0,2130.0,1840.0,117.0,86.2,1000.0,655.0,67.3,4540,1380
W250X131,131.0,16800,274,262,15.4,25.1,37.8,222.0,1850.0,1610.0,115.0,74.5,870.0,570.0,66.8,3130,1160
W250X115,115.0,14600,269,259,13.5,22.1,34.8,189.0,1600.0,1410.0,114.0,64.1,752.0,493.0,66.0,2130,975
W250X101,101.0,12800,264,257,11.9,19.6,32.3,164.0,1400.0,1240.0,113.0,55.8,657.0,433.0,65.8,1480,832
W250X89,89.0,11400,259,257,10.7,17.3,30,142.0,1220.0,1090.0,112.0,48.3,574.0,377.0,65.3,1030,709
W250X80,80.0,10200,257,254,9.4,15.6,28.4,126.0,1090.0,983.0,111.0,42.9,513.0,338.0,65.0,758,623
W250X73,73.0,9290,254,254,8.64,14.2,26.9,113.0,990.0,895.0,110.0,38.9,464.0,306.0,64.5,579,556
W250X67,67.0,8580,257,204,8.89,15.7,28.4,103.0,900.0,805.0,110.0,22.2,333.0,218.0,51.1,629,322
W250X58,58.0,7420,252,203,8,13.5,26.2,87.0,767.0,690.0,108.0,18.7,282.0,185.0,50.3,406,266
W250X49.1,49.1,6260,247,202,7.37,11,23.7,71.2,636.0,574.0,106.0,15.2,229.0,151.0,49.3,243,212
W250X44.8,44.8,5700,267,148,7.62,13,20.6,70.8,600.0,531.0,111.0,6.95,145.0,94.2,34.8,259,111
W250X38.5,38.5,4910,262,147,6.6,11.2,18.8,59.9,513.0,457.0,110.0,5.87,123.0,80.1,34.5,167,92.6
W250X32.7,32.7,4190,259,146,6.1,9.14,16.8,49.1,426.0,380.0,108.0,4.75,100.0,65.1,33.8,99.5,73.8
W250X28.4,28.4,3630,259,102,6.35,10,17.7,40.1,354.0,308.0,105.0,1.79,54.9,35.1,22.2,97,27.9
W250X25.3,25.3,3220,257,102,6.1,8.38,16,34.1,306.0,265.0,103.0,1.48,45.9,29.2,21.5,64.9,22.9
W250X22.3,22.3,2850,254,102,5.84,6.86,14.5,28.7,262.0,226.0,100.0,1.2,37.7,23.8,20.6,43.3,18.3
W250X17.9,17.9,2280,251,101,4.83,5.33,13,22.4,206.0,179.0,99.1,0.907,28.5,18.0,19.9,22.8,13.7
W200X100,100.0,12700,229,210,14.5,23.7,33.8,113.0,1150.0,990.0,94.5,36.9,536.0,351.0,53.8,2100,387
W200X86,86.0,11000,222,209,13,20.6,30.5,94.9,980.0,852.0,92.7,31.3,457.0,300.0,53.3,1390,317
W200X71,71.0,9100,216,206,10.2,17.4,27.4,76.6,803.0,708.0,91.7,25.3,375.0,246.0,52.8,816,250
W200X59,59.0,7550,210,205,9.14,14.2,24.2,60.8,652.0,582.0,89.7,20.4,303.0,200.0,51.8,466,195
W200X52,52.0,6650,206,204,7.87,12.6,22.6,52.9,569.0,511.0,89.2,17.7,264.0,174.0,51.6,320,166
W200X46.1,46.1,5890,203,203,7.24,11,21.1,45.8,498.0,451.0,88.1,15.4,231.0,152.0,51.3,223,142
W200X41.7,41.7,5320,205,166,7.24,11.8,21.8,40.8,446.0,398.0,87.6,9.03,166.0,109.0,41.1,224,83.8
W200X35.9,35.9,4570,201,165,6.22,10.2,20.2,34.4,379.0,342.0,86.9,7.62,140.0,92.3,40.9,144,69.6
W200X31.3,31.3,3970,210,134,6.35,10.2,17.8,31.3,334.0,298.0,88.6,4.07,93.2,60.8,32.0,117,40.8
W200X26.6,26.6,3390,207,133,5.84,8.38,16,25.8,279.0,249.0,87.1,3.32,76.4,49.8,31.2,71.6,32.8
W200X22.5,22.5,2860,206,102,6.22,8,15.6,20.0,223.0,193.0,83.6,1.42,43.8,27.9,22.3,57,13.9
W200X19.3,19.3,2480,203,102,5.84,6.48,14.1,16.5,187.0,162.0,81.5,1.14,35.2,22.5,21.4,36.3,11
W200X15,15.0,1910,200,100,4.32,5.21,12.8,12.8,145.0,128.0,81.8,0.87,27.2,17.4,21.4,17.7,8.3
W150X37.1,37.1,4740,162,154,8.13,11.6,17.9,22.2,310.0,274.0,68.6,7.12,140.0,91.9,38.6,192,40.3
W150X29.8,29.8,3790,157,153,6.6,9.27,15.6,17.2,246.0,220.0,67.6,5.54,110.0,72.3,38.1,99.9,30.3
W150X22.5,22.5,2860,152,152,5.84,6.6,13,12.1,177.0,159.0,65.0,3.88,77.8,51.0,36.8,42,20.5
W150X24,24.0,3060,160,102,6.6,10.3,16.6,13.4,192.0,167.0,66.0,1.84,55.6,36.1,24.6,92.8,10.3
W150X18,18.0,2290,153,102,5.84,7.11,13.5,9.2,136.0,120.0,63.2,1.24,38.0,24.6,23.3,37.6,6.63
W150X13.5,13.5,1730,150,100,4.32,5.46,11.8,6.83,102.0,91.1,62.7,0.916,28.2,18.2,23.0,16.9,4.75
W150X13,13.0,1630,148,100,4.32,4.95,11.3,6.2,93.9,83.6,61.7,0.828,25.6,16.6,22.6,13.9,4.24
W130X28.1,28.1,3590,131,128,6.86,10.9,18.5,10.9,190.0,167.0,55.1,3.8,90.6,59.5,32.5,132,13.7
W130X23.8,23.8,3040,127,127,6.1,9.14,16.8,8.91,158.0,140.0,54.1,3.13,75.1,49.2,32.0,79.9,10.9
W100X19.3,19.3,2470,106,103,7.11,8.76,15.1,4.7,103.0,89.5,43.7,1.61,47.9,31.1,25.4,62.9,3.76
