Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W690X802,802.0,103000,826,389,50,89.9,110,10700.0,31000.0,25700.0,323.0,878.0,7160.0,4540.0,92.7,206000,119000
W690X548,548.0,70300,772,373,35.1,63,83.1,6740.0,20300.0,17400.0,310.0,545.0,4570.0,2930.0,88.4,70800,68500
W690X500,500.0,64000,762,371,32,57.9,78,6080.0,18500.0,15900.0,307.0,491.0,4130.0,2650.0,87.6,54500,60700
W690X457,457.0,58200,752,366,29.5,53.1,73.2,5450.0,16900.0,14500.0,305.0,437.0,3720.0,2390.0,86.6,42000,53400
W690X419,419.0,53600,744,366,26.9,49,69.1,4950.0,15300.0,13300.0,305.0,397.0,3380.0,2180.0,86.1,33100,47800
W690X384,384.0,49100,737,363,24.9,45,65,4500.0,14000.0,12200.0,302.0,358.0,3060.0,1970.0,85.3,25600,42700
W690X350,350.0,44800,729,361,23.1,40.9,61,4040.0,12700.0,11100.0,300.0,320.0,2750.0,1770.0,84.6,19600,37900
W690X323,323.0,41200,721,358,21.1,38.1,58.2,3710.0,11700.0,10300.0,300.0,293.0,2520.0,1640.0,84.3,15700,34400
W690X289,289.0,36800,714,356,19.1,34,54.1,3270.0,10300.0,9160.0,297.0,258.0,2230.0,1440.0,83.6,11300,29800
W690X265,265.0,33900,706,358,18.4,30.2,50.3,2920.0,9340.0,8280.0,295.0,231.0,2000.0,1290.0,82.6,8370,26400
W690X240,240.0,30700,701,356,16.8,27.4,47.5,2630.0,8440.0,7510.0,292.0,207.0,1790.0,1160.0,82.0,6290,23400
W690X217,217.0,27900,696,356,15.4,24.8,44.7,2360.0,7600.0,6780.0,292.0,184.0,1600.0,1040.0,81.3,4700,20700
W690X192,192.0,24400,701,254,15.5,27.9,43.2,1980.0,6470.0,5650.0,284.0,76.6,944.0,603.0,56.1,4620,8730
W690X170,170.0,21700,693,257,14.5,23.6,38.9,1700.0,5620.0,4900.0,279.0,66.2,808.0,516.0,55.4,3050,7410
W690X152,152.0,19400,688,254,13.1,21.1,36.3,1510.0,5000.0,4380.0,279.0,57.9,711.0,456.0,54.6,2200,6440
W690X140,140.0,17800,683,254,12.4,18.9,34,1360.0,4560.0,3980.0,277.0,51.6,636.0,406.0,53.8,1680,5720
W690X125,125.0,15900,678,254,11.7,16.3,31.5,1190.0,4000.0,3490.0,272.0,44.1,544.0,347.0,52.6,1170,4810
W610X551,551.0,70300,711,348,38.6,69.1,81.8,5580.0,18500.0,15700.0,282.0,483.0,4380.0,2790.0,83.1,83700,49900
W610X498,498.0,63400,699,343,35.1,63,75.7,4950.0,16700.0,14200.0,279.0,429.0,3900.0,2490.0,82.0,63300,43200
W610X455,455.0,57900,688,340,32,57.9,70.6,4450.0,15100.0,12900.0,277.0,383.0,3510.0,2250.0,81.3,48700,38100
W610X415,415.0,52800,678,338,29.5,53.1,65.8,4000.0,13700.0,11800.0,274.0,343.0,3160.0,2030.0,80.5,37700,33600
W610X372,372.0,47400,668,335,26.4,48,60.7,3530.0,12200.0,10600.0,272.0,301.0,2800.0,1800.0,79.8,27700,29000
W610X341,341.0,43400,660,333,24.4,43.9,56.6,3180.0,11100.0,9640.0,272.0,271.0,2520.0,1630.0,79.0,21400,25800
W610X307,307.0,39200,653,330,22.1,39.9,52.6,2840.0,9930.0,8700.0,269.0,241.0,2250.0,1460.0,78.2,15900,22600
W610X285,285.0,36500,648,330,20.6,37.1,49.8,2610.0,9160.0,8050.0,267.0,221.0,2060.0,1340.0,78.0,12800,20500
W610X262,262.0,33400,640,328,19.1,34,46.7,2360.0,8370.0,7370.0,267.0,199.0,1880.0,1220.0,77.2,9950,18400
W610X241,241.0,30800,635,330,17.9,31,43.7,2150.0,7670.0,6780.0,264.0,184.0,1720.0,1120.0,77.5,7700,16800
W610X217,217.0,27700,627,328,16.5,27.7,40.4,1910.0,6850.0,6080.0,262.0,163.0,1530.0,991.0,76.5,5580,14700
W610X195,195.0,24900,622,328,15.4,24.4,37.1,1670.0,6060.0,5390.0,259.0,142.0,1340.0,869.0,75.4,3950,12600
W610X174,174.0,22200,617,325,14,21.6,34.3,1470.0,5360.0,4770.0,257.0,124.0,1170.0,762.0,74.7,2800,11000
W610X155,155.0,19800,612,325,12.7,19.1,31.8,1290.0,4740.0,4230.0,257.0,108.0,1020.0,667.0,73.9,1960,9450
W610X153,153.0,19500,622,229,14,24.9,37.6,1250.0,4590.0,4010.0,254.0,49.5,680.0,434.0,50.5,2940,4460
W610X140,140.0,17900,617,230,13.1,22.2,35.1,1120.0,4160.0,3640.0,251.0,45.4,615.0,393.0,50.3,2190,4030
W610X125,125.0,15900,612,229,11.9,19.6,32.3,986.0,3670.0,3210.0,249.0,39.3,534.0,342.0,49.5,1540,3440
W610X113,113.0,14500,607,228,11.2,17.3,30,874.0,3280.0,2880.0,246.0,34.3,469.0,302.0,48.8,1120,2980
W610X101,101.0,13000,602,228,10.5,14.9,27.7,762.0,2900.0,2520.0,243.0,29.3,401.0,257.0,47.5,778,2530
W610X92,92.0,11700,602,179,10.9,15,27.7,645.0,2510.0,2150.0,234.0,14.4,257.0,161.0,35.1,712,1240
W610X82,82.0,10500,599,178,10,12.8,25.7,562.0,2200.0,1870.0,231.0,12.1,218.0,136.0,34.0,491,1040
W530X409,409.0,52800,612,328,31,55.6,85.6,3200.0,12300.0,10500.0,246.0,328.0,3130.0,2000.0,78.7,44500,25400
W530X369,369.0,47600,602,325,27.9,50.5,80.5,2840.0,11000.0,9440.0,244.0,291.0,2790.0,1790.0,78.2,33600,22100
W530X332,332.0,42900,594,323,25.4,45.5,75.4,2530.0,9850.0,8520.0,243.0,256.0,2460.0,1580.0,77.2,24800,19300
W530X300,300.0,38300,584,320,23.1,41.4,54.1,2210.0,8690.0,7550.0,241.0,226.0,2180.0,1410.0,76.7,17000,16600
W530X272,272.0,34600,577,318,21.1,37.6,50.3,1970.0,7800.0,6830.0,239.0,201.0,1950.0,1270.0,76.2,12800,14600
W530X248,248.0,31500,572,315,19.1,34.5,47.2,1780.0,7080.0,6230.0,238.0,181.0,1770.0,1150.0,75.9,9820,13000
W530X219,219.0,27900,561,318,18.3,29.2,41.9,1510.0,6110.0,5390.0,233.0,157.0,1520.0,985.0,74.9,6410,11000
W530X196,196.0,25000,554,315,16.5,26.4,39.1,1340.0,5460.0,4830.0,232.0,139.0,1350.0,877.0,74.4,4700,9670
W530X182,182.0,23200,551,315,15.2,24.4,37.1,1230.0,5030.0,4470.0,231.0,127.0,1240.0,806.0,74.2,3740,8780
W530X165,165.0,21000,546,312,14,22.2,35.1,1110.0,4570.0,4080.0,230.0,114.0,1120.0,729.0,73.7,2840,7840
W530X150,150.0,19200,544,312,12.7,20.3,33,1010.0,4150.0,3720.0,229.0,103.0,1010.0,660.0,73.4,2170,7040
W530X138,138.0,17600,549,214,14.7,23.6,36.3,862.0,3620.0,3150.0,221.0,38.7,569.0,362.0,46.7,2510,2670
W530X123,123.0,15700,544,212,13.1,21.2,34,762.0,3210.0,2800.0,220.0,33.9,500.0,320.0,46.5,1810,2320
W530X109,109.0,13900,538,211,11.6,18.8,31.5,666.0,2820.0,2470.0,219.0,29.4,436.0,279.0,46.0,1260,1990
W530X101,101.0,12900,536,210,10.9,17.4,30.2,616.0,2620.0,2290.0,218.0,26.9,400.0,257.0,45.7,1020,1820
W530X92,92.0,11800,533,209,10.2,15.6,28.4,554.0,2360.0,2080.0,217.0,23.9,356.0,229.0,45.0,762,1600
W530X82,82.0,10500,528,209,9.53,13.3,25.9,475.0,2060.0,1800.0,213.0,20.1,302.0,193.0,43.9,516,1340
W530X72,72.0,9100,523,207,8.89,10.9,23.6,399.0,1750.0,1520.0,209.0,16.1,244.0,156.0,42.2,334,1060
W530X85,85.0,10800,536,167,10.3,16.5,29.2,487.0,2110.0,1820.0,212.0,12.7,243.0,153.0,34.3,737,857
W530X74,74.0,9480,528,166,9.65,13.6,26.4,410.0,1800.0,1550.0,208.0,10.4,200.0,125.0,33.0,475,690
W530X66,66.0,8390,526,165,8.89,11.4,24.1,351.0,1560.0,1340.0,205.0,8.62,167.0,104.0,32.0,320,567
W460X464,464.0,59100,566,305,38.6,69.6,82.3,2900.0,12400.0,10200.0,221.0,331.0,3390.0,2160.0,74.9,73300,20500
W460X421,421.0,53700,556,302,35.6,63.5,76.2,2570.0,11100.0,9260.0,219.0,293.0,3030.0,1930.0,73.9,55800,17700
W460X384,384.0,49000,546,300,32.5,58.4,68.6,2290.0,10000.0,8420.0,217.0,261.0,2720.0,1750.0,73.2,42900,15500
W460X349,349.0,44300,536,297,29.5,53.6,63.8,2040.0,9000.0,7640.0,214.0,232.0,2440.0,1570.0,72.4,32800,13500
W460X315,315.0,40200,526,295,26.9,48.5,58.7,1800.0,8030.0,6870.0,212.0,205.0,2160.0,1400.0,71.6,24400,11700
W460X286,286.0,36300,518,292,24.4,44.5,54.6,1610.0,7240.0,6230.0,210.0,183.0,1950.0,1260.0,70.9,18600,10200
W460X260,260.0,33200,508,290,22.6,40.4,50.5,1440.0,6520.0,5640.0,208.0,163.0,1740.0,1130.0,70.1,14100,8940
W460X235,235.0,29900,500,287,20.6,36.6,46.7,1270.0,5830.0,5080.0,206.0,144.0,1550.0,1010.0,69.6,10500,7790
W460X213,213.0,27100,495,284,18.5,33.5,43.7,1140.0,5280.0,4620.0,205.0,129.0,1400.0,909.0,69.1,7990,6900
W460X193,193.0,24700,490,284,17,30.5,40.6,1020.0,4750.0,4200.0,204.0,116.0,1260.0,818.0,68.6,6040,6100
W460X177,177.0,22600,483,287,16.6,26.9,37.1,912.0,4290.0,3790.0,201.0,105.0,1130.0,736.0,68.3,4410,5450
W460X158,158.0,20100,475,284,15,23.9,34,795.0,3770.0,3340.0,199.0,91.6,991.0,646.0,67.6,3110,4670
W460X144,144.0,18400,472,282,13.6,22.1,32.3,728.0,3460.0,3080.0,199.0,83.7,906.0,592.0,67.3,2440,4240
W460X128,128.0,16300,467,282,12.2,19.6,29.7,637.0,3050.0,2720.0,197.0,72.8,793.0,518.0,66.8,1710,3650
W460X113,113.0,14400,462,279,10.8,17.3,27.4,554.0,2670.0,2390.0,196.0,63.3,692.0,452.0,66.3,1180,3140
W460X106,106.0,13500,470,194,12.6,20.6,30.7,487.0,2390.0,2080.0,191.0,25.1,405.0,259.0,43.2,1450,1260
W460X97,97.0,12300,467,193,11.4,19.1,29.2,445.0,2180.0,1920.0,190.0,22.8,369.0,236.0,42.9,1140,1140
W460X89,89.0,11400,462,192,10.5,17.7,27.9,410.0,2020.0,1770.0,190.0,20.9,338.0,218.0,42.7,903,1030
W460X82,82.0,10500,460,191,9.91,16,26.2,370.0,1840.0,1610.0,188.0,18.7,303.0,195.0,42.4,691,921
W460X74,74.0,9480,457,191,9.02,14.5,24.7,333.0,1660.0,1460.0,187.0,16.7,272.0,175.0,41.9,516,816
W460X68,68.0,8710,460,154,9.14,15.4,25.7,296.0,1490.0,1290.0,184.0,9.37,192.0,122.0,32.8,508,462
W460X60,60.0,7610,455,153,8,13.3,23.5,255.0,1280.0,1120.0,183.0,7.95,164.0,104.0,32.3,337,387
W460X52,52.0,6650,450,152,7.62,10.8,21,212.0,1090.0,944.0,179.0,6.37,132.0,83.9,31.0,211,306
W410X149,149.0,19000,432,264,14.9,25,35.3,620.0,3240.0,2870.0,180.0,77.4,900.0,585.0,63.8,3220,3200
